frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1288,2024-06-19 11:35:51.949,42.938,32.103238,35.208023,400.0044368339278,-177.66590730610568,118.4,113.74014934043839,trajectory,60.0,fixed,68.35827187205172,462.4443877706045,-205.4886652635538,32.102988063912804,35.20868516833485
1289,2024-06-19 11:35:51.982,42.971,32.103234,35.208033,400.9473987313559,-178.11118526891505,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,463.3873496677101,-205.93394322708696,32.1029840639128,35.208695168334856
1290,2024-06-19 11:35:52.015,43.005,32.103234,35.208033,400.9473987313559,-178.11118526891505,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,463.3873496677101,-205.93394322708696,32.1029840639128,35.208695168334856
1291,2024-06-19 11:35:52.048,43.038,32.103234,35.208033,400.9473987313559,-178.11118526891505,118.4,114.29342443103167,trajectory,60.0,fixed,68.35827187205172,463.3873496677101,-205.93394322708696,32.1029840639128,35.208695168334856
1292,2024-06-19 11:35:52.082,43.071,32.10323,35.208043,401.890360628784,-178.55646323172445,118.4,114.29342442618764,trajectory,60.0,fixed,68.35827187205172,464.3303115666378,-206.37922118653088,32.10298006391284,35.208705168334866
1293,2024-06-19 11:35:52.117,43.105,32.10323,35.208043,401.890360628784,-178.55646323172445,118.4,114.29342442618764,trajectory,60.0,fixed,68.35827187205172,464.3303115666378,-206.37922118653088,32.10298006391284,35.208705168334866
1294,2024-06-19 11:35:52.148,43.138,32.10323,35.208043,401.890360628784,-178.55646323172445,118.4,114.29342442618764,trajectory,60.0,fixed,68.35827187205172,464.3303115666378,-206.37922118653088,32.10298006391284,35.208705168334866
1295,2024-06-19 11:35:52.182,43.172,32.103227,35.208053,402.8333225262121,-178.89042170471663,118.4,113.74014933912139,trajectory,60.0,fixed,68.35827187205172,465.27327346374335,-206.71317966024694,32.102977063912824,35.20871516833487
1296,2024-06-19 11:35:52.215,43.205,32.103227,35.208053,402.8333225262121,-178.89042170471663,118.4,113.74014933912139,trajectory,60.0,fixed,68.35827187205172,465.27327346374335,-206.71317966024694,32.102977063912824,35.20871516833487
1297,2024-06-19 11:35:52.248,43.238,32.103227,35.208053,402.8333225262121,-178.89042170471663,118.4,113.74014933912139,trajectory,60.0,fixed,68.35827187205172,465.27327346374335,-206.71317966024694,32.102977063912824,35.20871516833487
