query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,1470,data/processed/frames_v14_1fps/frame_000050.jpg,v12,4047,13.57532816437687,v13,19513,data/processed/frames_v13_1fps/frame_000652.jpg,5,0.9855659008026123,366,363,0.9918032786885246,3.231471455543155
v14,1500,data/processed/frames_v14_1fps/frame_000051.jpg,v12,4077,13.30003348143141,v13,19543,data/processed/frames_v13_1fps/frame_000653.jpg,7,0.9846588969230652,350,349,0.9971428571428571,4.817452971335411
v14,1530,data/processed/frames_v14_1fps/frame_000052.jpg,v12,4107,12.469823837859622,v12,4107,data/processed/frames_v12_1fps/frame_000138.jpg,1,0.9892905354499817,362,354,0.9779005524861878,12.469823837859622
v14,1560,data/processed/frames_v14_1fps/frame_000053.jpg,v12,4137,11.565683058704195,v12,4137,data/processed/frames_v12_1fps/frame_000139.jpg,1,0.9879655838012695,350,339,0.9685714285714285,11.565683058704195
v14,1590,data/processed/frames_v14_1fps/frame_000054.jpg,v12,4167,10.118790211816552,v12,4167,data/processed/frames_v12_1fps/frame_000140.jpg,1,0.9906755685806274,359,352,0.9805013927576601,10.118790211816552
v14,1620,data/processed/frames_v14_1fps/frame_000055.jpg,v12,4197,8.276413312172837,v13,19663,data/processed/frames_v13_1fps/frame_000657.jpg,5,0.9846670031547546,343,340,0.9912536443148688,13.773601928389148
v14,1650,data/processed/frames_v14_1fps/frame_000056.jpg,v12,4227,7.247554244629719,v12,4227,data/processed/frames_v12_1fps/frame_000142.jpg,1,0.9916927814483643,360,352,0.9777777777777777,7.247554244629719
v14,1680,data/processed/frames_v14_1fps/frame_000057.jpg,v12,4227,9.760611217177441,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,3,0.984894335269928,356,348,0.9775280898876404,5.985335209966242
v14,1709,data/processed/frames_v14_1fps/frame_000058.jpg,v12,4227,14.08546099612831,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,3,0.987673282623291,356,348,0.9775280898876404,6.477734048731217
v14,1739,data/processed/frames_v14_1fps/frame_000059.jpg,v12,4257,8.64850361713179,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,1,0.9887592792510986,360,348,0.9666666666666667,8.64850361713179
