query_frame_count,time_s,decision,seconds_since_previous_fix,position_error_m,is_good_fix,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_inlier_count,lg_inlier_ratio,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count
720,23.988,NO_FIX,,82.34430445855673,False,3,0.9669443964958191,146,0.4183381088825215,v11,22091
750,24.989,NO_FIX,,84.36361490876664,False,1,0.9733963012695312,133,0.3855072463768116,v11,22121
780,25.989,NO_FIX,,87.95130971615598,False,1,0.9692049026489258,132,0.3916913946587537,v11,22121
810,26.99,NO_FIX,,91.86382556802045,False,1,0.9661251902580261,115,0.37216828478964403,v11,22121
840,27.991,NO_FIX,,96.93684839206242,False,1,0.9671028256416321,106,0.37722419928825623,v11,22121
870,28.992,NO_FIX,,104.47221181793017,False,5,0.9599491953849792,94,0.373015873015873,v11,22151
900,29.993,NO_FIX,,109.68928068034134,False,6,0.9482885599136353,104,0.37681159420289856,v11,22211
930,30.994,NO_FIX,,109.35393163700077,False,3,0.9479871988296509,111,0.3801369863013699,v11,22271
960,31.995,NO_FIX,,115.70155955997669,False,3,0.9370579719543457,93,0.33214285714285713,v11,22331
990,32.996,NO_FIX,,124.2723549794867,False,4,0.9381890296936035,93,0.3661417322834646,v11,22361
1020,33.997,NO_FIX,,146.66307282388146,False,3,0.9387381076812744,75,0.2613240418118467,v11,22751
1050,34.998,NO_FIX,,137.16438862567665,False,3,0.9484919309616089,79,0.2598684210526316,v11,22781
1080,35.998,NO_FIX,,126.52018729410963,False,4,0.9468650221824646,91,0.2676470588235294,v11,22840
1110,36.999,NO_FIX,,125.16948651536867,False,5,0.9460850954055786,95,0.28106508875739644,v11,22840
1140,38.0,NO_FIX,,209.27238521285372,False,2,0.9475699067115784,66,0.3333333333333333,v13,5966
1170,39.001,NO_FIX,,208.7263135514974,False,1,0.9552658796310425,68,0.3300970873786408,v13,5966
1200,40.002,NO_FIX,,208.89972217551016,False,1,0.9608334898948669,71,0.3397129186602871,v13,5966
1230,41.003,NO_FIX,,209.538793388834,False,1,0.9573582410812378,71,0.33490566037735847,v13,5966
1260,42.004,NO_FIX,,208.41362057116126,False,2,0.9347497820854187,73,0.33031674208144796,v13,5966
1290,43.005,NO_FIX,,192.7118825392115,False,5,0.9495517611503601,56,0.3111111111111111,v13,5996
1320,44.006,NO_FIX,,118.83765378798725,False,1,0.9752940535545349,11,0.3055555555555556,v13,6056
1350,45.007,NO_FIX,,68.577425866856,False,4,0.964768648147583,12,0.3,v13,6086
1380,46.007,NO_FIX,,62.45677492692793,False,2,0.9705938696861267,14,0.2916666666666667,v13,6116
1410,47.008,NO_FIX,,56.28559959411699,False,6,0.9635841250419617,9,0.21951219512195122,v13,6145
1440,48.009,NO_FIX,,149.07335974043966,False,5,0.9627701640129089,7,0.16279069767441862,v13,6775
1470,49.01,NO_FIX,,158.6877068762278,False,3,0.963915228843689,7,0.1346153846153846,v13,6805
1500,50.011,NO_FIX,,107.33474391867658,False,4,0.964806079864502,132,0.3350253807106599,v13,8244
