query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
4857,32.10257673,35.21044305,32.10243181,35.20988816,32.10227441,35.21038664,34.0730,50.1649
4887,32.10253444,35.21065020,32.10240718,35.20983539,32.10227441,35.21038664,38.1527,54.0424
4917,32.10247582,35.21095803,32.10238943,35.20978091,32.10227441,35.21038764,58.2739,58.6286
4947,32.10223027,35.20904175,32.10237522,35.20973497,32.10227441,35.21038764,127.0106,62.5605
4977,32.10223027,35.20904175,32.10235882,35.20967362,32.10227441,35.21038764,127.0106,67.9837
5007,32.10223027,35.20904175,32.10234040,35.20960269,32.10227441,35.21038764,127.0106,74.3828
5036,32.10223027,35.20904175,32.10232237,35.20953497,32.10227441,35.21038764,127.0106,80.5829
5066,32.10223027,35.20904175,32.10230599,35.20947107,32.10227561,35.21038607,126.8686,86.3498
5096,32.10222927,35.20904175,32.10229119,35.20941330,32.10227561,35.21038607,126.8731,91.7473
5126,32.10222927,35.20904175,32.10227806,35.20936209,32.10227541,35.21038764,127.0194,96.7078
5156,32.10222927,35.20904175,32.10226664,35.20931751,32.10227541,35.21038764,127.0194,100.9165
5186,32.10222827,35.20904175,32.10225667,35.20928046,32.10227541,35.21038764,127.0239,104.4264
5216,32.10222827,35.20904275,32.10225019,35.20925047,32.10227561,35.21038707,126.8776,107.2179
5246,32.10222827,35.20904275,32.10224313,35.20922205,32.10227461,35.21038807,126.9673,110.0108
5276,32.10222827,35.20904275,32.10223789,35.20919543,32.10227461,35.21038707,126.8731,112.4449
5306,32.10224069,35.21006990,32.10223438,35.20916907,32.10227441,35.21038764,30.1965,114.9961
5336,32.10222919,35.21008316,32.10223445,35.20916913,32.10227441,35.21038764,29.1491,114.9894
5366,32.10230228,35.20909506,32.10223445,35.20916679,32.10227441,35.21038764,121.9278,115.2099
5396,32.10223202,35.20903922,32.10223435,35.20916217,32.10227441,35.21038764,127.2419,115.6461
5426,32.10223002,35.20904122,32.10223413,35.20915552,32.10227441,35.21038764,127.0619,116.2738
5456,32.10223002,35.20904022,32.10223495,35.20914799,32.10227441,35.21038764,127.1561,116.9801
5486,32.10223002,35.20904022,32.10223531,35.20913832,32.10227441,35.21038864,127.2503,117.9832
5516,32.10223027,35.20904175,32.10223536,35.20912808,32.10227441,35.21038864,127.1048,118.9482
5546,32.10223027,35.20904175,32.10223542,35.20911752,32.10227441,35.21038864,127.1048,119.9433
5576,32.10222927,35.20904175,32.10223551,35.20910705,32.10227441,35.21038764,127.0149,120.8352
5606,32.10222927,35.20904175,32.10223562,35.20909705,32.10227441,35.21038764,127.0149,121.7774
5636,32.10222827,35.20904175,32.10223577,35.20908775,32.10227441,35.21038764,127.0194,122.6533
5666,32.10222827,35.20904175,32.10223595,35.20907936,32.10227441,35.21038764,127.0194,123.4430
5696,32.10222627,35.20904175,32.10223599,35.20905984,32.10227441,35.21038764,127.0286,125.2825
5726,32.10222827,35.20904275,32.10223619,35.20904400,32.10227461,35.21038707,126.8731,126.7226
5756,32.10222827,35.20904275,32.10223551,35.20904318,32.10227441,35.21038764,126.9251,126.8546
5786,32.10222727,35.20904275,32.10223582,35.20904314,32.10227441,35.21038764,126.9297,126.8571
5816,32.10230228,35.20909506,32.10223712,35.20904386,32.10227441,35.21038864,122.0221,126.8789
5846,32.10225780,35.20902287,32.10225678,35.20905812,32.10227441,35.21038764,128.7089,125.3871
5876,32.10223202,35.20903922,32.10227643,35.20908089,32.10227441,35.21038864,127.3361,123.3186
5906,32.10223202,35.20903922,32.10229676,35.20910168,32.10227461,35.21038807,127.2840,121.3300
5936,32.10223202,35.20903922,32.10232076,35.20912645,32.10227707,35.21038132,126.6583,118.4324
5966,32.10223102,35.20904122,32.10234797,35.20915500,32.10228420,35.21036344,124.8249,114.1753
5996,32.10223202,35.20903922,32.10237863,35.20918751,32.10228934,35.21034456,123.2581,109.5602
6026,32.10223202,35.20903922,32.10241137,35.20922077,32.10229527,35.21032825,121.7581,105.2309
6056,32.10223202,35.20903922,32.10244683,35.20925681,32.10230141,35.21031137,120.2111,100.7523
6086,32.10223202,35.20903922,32.10248401,35.20929522,32.10230755,35.21029549,118.7633,96.3477
6116,32.10223202,35.20903922,32.10252293,35.20933486,32.10231369,35.21027861,117.2268,91.9926
6145,32.10223202,35.20903922,32.10256198,35.20937517,32.10232082,35.21026073,115.6112,87.7161
6175,32.10230228,35.20909506,32.10260039,35.20941514,32.10232696,35.21024386,108.3650,83.8658
6205,32.10351098,35.20998359,32.10263655,35.20945311,32.10233310,35.21022698,133.1150,80.4143
6235,32.10319717,35.21031591,32.10267097,35.20948986,32.10233903,35.21021066,96.0419,77.3650
6265,32.10296714,35.20983922,32.10270247,35.20952336,32.10234517,35.21019378,76.8877,74.6913
6295,32.10296714,35.20983922,32.10273080,35.20955311,32.10235110,35.21017747,75.6319,72.4775
6325,32.10292636,35.20981318,32.10275517,35.20957879,32.10235724,35.21016059,71.3226,70.5143
6355,32.10291336,35.20980325,32.10277542,35.20960019,32.10236238,35.21014371,69.2295,68.8553
6385,32.10282323,35.20959147,32.10279179,35.20961731,32.10236952,35.21012683,71.4119,67.2175
6415,32.10282323,35.20959147,32.10280378,35.20963052,32.10237565,35.21010995,69.8064,65.6909
6445,32.10279269,35.20960434,32.10281215,35.20964009,32.10238059,35.21009364,65.0647,64.3209
6475,32.10282323,35.20959147,32.10281709,35.20964653,32.10238672,35.21007676,66.7485,62.7779
6505,32.10279269,35.20960434,32.10281955,35.20965032,32.10239386,35.21006088,61.8426,61.1921
6535,32.10277591,35.20960909,32.10281962,35.20965208,32.10240000,35.21004400,58.5925,59.5643
6565,32.10277591,35.20960909,32.10281797,35.20965150,32.10240514,35.21002612,57.0096,57.9648
6595,32.10275813,35.20961284,32.10280040,35.20963964,32.10257416,35.20940474,28.3635,33.5402
6625,32.10274085,35.20961539,32.10279000,35.20962559,32.10257181,35.20941205,26.8656,31.5499
6655,32.10277591,35.20960909,32.10278215,35.20962020,32.10256954,35.20942601,28.7367,29.9245
6685,32.10277591,35.20960909,32.10277482,35.20961592,32.10256726,35.20943858,28.2494,28.5218
6715,32.10277591,35.20960909,32.10276774,35.20961316,32.10256726,35.20943258,28.5752,28.0721
6745,32.10279269,35.20960434,32.10276110,35.20961130,32.10256455,35.20942068,30.7393,28.3159
6775,32.10275813,35.20961284,32.10275549,35.20961267,32.10267758,35.20947521,15.7747,15.5958
6805,32.10275813,35.20961284,32.10274930,35.20961417,32.10268758,35.20947421,15.2504,14.8798
6835,32.10274085,35.20961539,32.10274369,35.20961540,32.10268650,35.20947653,14.4241,14.5599
