query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count,motion_viterbi_reference_frame_path,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,motion_viterbi_position_error_m
v12,1590,data/processed/frames_v12_1fps/frame_000054.jpg,v11,23230,78.3692015051483,v11,23260,data/processed/frames_v11_1fps/frame_000777.jpg,4,0.9643166065216064,296,111,0.375,100.56247641066786
v12,1620,data/processed/frames_v12_1fps/frame_000055.jpg,v11,23290,105.43952805116123,v11,23260,data/processed/frames_v11_1fps/frame_000777.jpg,4,0.9595361351966858,310,128,0.4129032258064516,94.67119055381744
v12,1650,data/processed/frames_v12_1fps/frame_000056.jpg,v11,23320,106.37792316428977,v11,23290,data/processed/frames_v11_1fps/frame_000778.jpg,2,0.9625133275985718,322,134,0.4161490683229814,98.70808297600354
v12,1680,data/processed/frames_v12_1fps/frame_000057.jpg,v11,23320,91.19533701817429,v11,23320,data/processed/frames_v11_1fps/frame_000779.jpg,1,0.9608915448188782,301,130,0.4318936877076412,91.19533701817429
v12,1709,data/processed/frames_v12_1fps/frame_000058.jpg,v11,23380,99.67566476976182,v11,23320,data/processed/frames_v11_1fps/frame_000779.jpg,2,0.9604108333587646,332,153,0.4608433734939759,78.68474452827277
v12,1739,data/processed/frames_v12_1fps/frame_000059.jpg,v13,8993,193.59978060327177,v11,23350,data/processed/frames_v11_1fps/frame_000780.jpg,2,0.9583130478858948,272,118,0.4338235294117647,83.30283035776036
v12,1769,data/processed/frames_v12_1fps/frame_000060.jpg,v11,23380,86.23863231598918,v11,23380,data/processed/frames_v11_1fps/frame_000781.jpg,1,0.961862325668335,290,125,0.43103448275862066,86.23863231598918
v12,1799,data/processed/frames_v12_1fps/frame_000061.jpg,v11,23380,81.38849190654854,v11,23500,data/processed/frames_v11_1fps/frame_000785.jpg,3,0.962862491607666,208,87,0.4182692307692308,111.39675159153194
v12,1829,data/processed/frames_v12_1fps/frame_000062.jpg,v11,23650,119.57758298542191,v11,23560,data/processed/frames_v11_1fps/frame_000787.jpg,4,0.9605966210365295,212,87,0.41037735849056606,103.68807838508869
v12,1859,data/processed/frames_v12_1fps/frame_000063.jpg,v13,8633,97.29999734348212,v11,23560,data/processed/frames_v11_1fps/frame_000787.jpg,4,0.9572575092315674,217,87,0.4009216589861751,102.73704464862197
v12,1889,data/processed/frames_v12_1fps/frame_000064.jpg,v11,23650,109.12352531729874,v11,23560,data/processed/frames_v11_1fps/frame_000787.jpg,5,0.959565281867981,233,107,0.4592274678111588,98.02227652417984
v12,1919,data/processed/frames_v12_1fps/frame_000065.jpg,v11,23650,102.21889294913478,v11,23590,data/processed/frames_v11_1fps/frame_000788.jpg,5,0.9602421522140503,221,75,0.3393665158371041,94.69792133390906
v12,1949,data/processed/frames_v12_1fps/frame_000066.jpg,v13,8753,80.8167114798254,v11,23650,data/processed/frames_v11_1fps/frame_000790.jpg,5,0.9591033458709717,171,49,0.28654970760233917,96.24383921814051
v12,1979,data/processed/frames_v12_1fps/frame_000067.jpg,v13,8753,75.08522547743212,v11,23590,data/processed/frames_v11_1fps/frame_000788.jpg,6,0.9525341987609863,253,109,0.4308300395256917,86.77505627976561
v12,2009,data/processed/frames_v12_1fps/frame_000068.jpg,v13,8753,68.16322558919101,v11,23650,data/processed/frames_v11_1fps/frame_000790.jpg,6,0.9602265357971191,196,86,0.4387755102040816,88.19850329983743
v12,2039,data/processed/frames_v12_1fps/frame_000069.jpg,v13,8753,59.43619347076189,v11,23650,data/processed/frames_v11_1fps/frame_000790.jpg,5,0.9625647068023682,191,100,0.5235602094240838,90.1458666144329
v12,2069,data/processed/frames_v12_1fps/frame_000070.jpg,v13,8753,53.17507439811214,v13,8843,data/processed/frames_v13_1fps/frame_000296.jpg,6,0.9692543745040894,259,156,0.6023166023166023,56.0600588172681
v12,2099,data/processed/frames_v12_1fps/frame_000071.jpg,v13,8753,51.28967919229492,v13,8783,data/processed/frames_v13_1fps/frame_000294.jpg,3,0.968859851360321,342,186,0.543859649122807,48.38937946812041
v12,2129,data/processed/frames_v12_1fps/frame_000072.jpg,v13,8753,53.752101191162936,v13,8783,data/processed/frames_v13_1fps/frame_000294.jpg,4,0.9738836288452148,334,185,0.5538922155688623,48.988782874981524
v12,2159,data/processed/frames_v12_1fps/frame_000073.jpg,v13,8723,71.09051102416872,v13,8843,data/processed/frames_v13_1fps/frame_000296.jpg,4,0.9723790287971497,317,215,0.6782334384858044,46.168362752632284
v12,2189,data/processed/frames_v12_1fps/frame_000074.jpg,v13,8843,49.284129851806526,v13,8843,data/processed/frames_v13_1fps/frame_000296.jpg,1,0.9725226163864136,325,191,0.5876923076923077,49.284129851806526
v12,2219,data/processed/frames_v12_1fps/frame_000075.jpg,v13,8843,51.878437090462725,v13,8993,data/processed/frames_v13_1fps/frame_000301.jpg,2,0.9716256260871887,421,273,0.6484560570071259,37.43655176740609
v12,2249,data/processed/frames_v12_1fps/frame_000076.jpg,v13,8993,30.020169553392456,v13,8993,data/processed/frames_v13_1fps/frame_000301.jpg,1,0.9778681397438049,449,327,0.7282850779510023,30.020169553392456
v12,2279,data/processed/frames_v12_1fps/frame_000077.jpg,v13,8993,25.31395742249612,v13,9023,data/processed/frames_v13_1fps/frame_000302.jpg,2,0.9816389083862305,436,329,0.7545871559633027,18.693240041747504
v12,2309,data/processed/frames_v12_1fps/frame_000078.jpg,v13,8993,23.949128415384063,v13,9083,data/processed/frames_v13_1fps/frame_000304.jpg,6,0.9729854464530945,482,411,0.8526970954356846,20.059606411405596
v12,2339,data/processed/frames_v12_1fps/frame_000079.jpg,v13,9023,13.736929740962651,v13,9083,data/processed/frames_v13_1fps/frame_000304.jpg,6,0.9757878184318542,544,449,0.8253676470588235,9.895178437119162
v12,2369,data/processed/frames_v12_1fps/frame_000080.jpg,v13,9023,20.293359650687655,v13,9083,data/processed/frames_v13_1fps/frame_000304.jpg,2,0.9857178926467896,614,497,0.8094462540716613,0.5047593150020324
v12,2399,data/processed/frames_v12_1fps/frame_000081.jpg,v13,9083,10.597263605727832,v13,9113,data/processed/frames_v13_1fps/frame_000305.jpg,2,0.9857484698295593,639,535,0.837245696400626,4.661823122054464
v12,2429,data/processed/frames_v12_1fps/frame_000082.jpg,v13,9083,20.749962269150192,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,2,0.9884896874427795,672,587,0.8735119047619048,10.51520293066891
v12,2459,data/processed/frames_v12_1fps/frame_000083.jpg,v13,9083,31.075439862680035,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,3,0.9768120646476746,567,508,0.8959435626102292,20.34329221293279
v12,2489,data/processed/frames_v12_1fps/frame_000084.jpg,v13,9113,35.66766686827939,v13,9203,data/processed/frames_v13_1fps/frame_000308.jpg,5,0.9742081165313721,519,504,0.9710982658959537,35.66403814078886
v12,2519,data/processed/frames_v12_1fps/frame_000085.jpg,v13,9143,42.36105118585928,v13,9203,data/processed/frames_v13_1fps/frame_000308.jpg,3,0.9760282635688782,542,517,0.9538745387453874,42.5941066892981
v12,2549,data/processed/frames_v12_1fps/frame_000086.jpg,v13,9203,48.65228464300134,v13,9233,data/processed/frames_v13_1fps/frame_000309.jpg,4,0.9622331261634827,523,514,0.982791586998088,52.78152010826784
v12,2579,data/processed/frames_v12_1fps/frame_000087.jpg,v13,9203,55.94135255533545,v13,9263,data/processed/frames_v13_1fps/frame_000310.jpg,5,0.9615654945373535,473,460,0.9725158562367865,64.09305383161967
v12,2609,data/processed/frames_v12_1fps/frame_000088.jpg,v13,9203,63.99660222079161,v13,9293,data/processed/frames_v13_1fps/frame_000311.jpg,3,0.9589710235595703,438,416,0.9497716894977168,74.2197948030629
v12,2639,data/processed/frames_v12_1fps/frame_000089.jpg,v13,9203,72.63946040197146,v13,9323,data/processed/frames_v13_1fps/frame_000312.jpg,2,0.9605347514152527,416,377,0.90625,83.63882773573985
v12,2669,data/processed/frames_v12_1fps/frame_000090.jpg,v13,9203,81.3362555165944,v13,9323,data/processed/frames_v13_1fps/frame_000312.jpg,4,0.9588153958320618,373,326,0.8739946380697051,88.83390016393999
v12,2699,data/processed/frames_v12_1fps/frame_000091.jpg,v13,9323,94.60964401790588,v13,9413,data/processed/frames_v13_1fps/frame_000315.jpg,3,0.9602395296096802,322,198,0.6149068322981367,104.45753808327494
v12,2729,data/processed/frames_v12_1fps/frame_000092.jpg,v11,24309,111.70232807895827,v11,24219,data/processed/frames_v11_1fps/frame_000809.jpg,5,0.962706446647644,248,97,0.3911290322580645,110.95673954721951
v12,2759,data/processed/frames_v12_1fps/frame_000093.jpg,v11,24309,112.33367707982455,v11,24249,data/processed/frames_v11_1fps/frame_000810.jpg,3,0.9686043858528137,241,96,0.3983402489626556,112.35331150361361
v12,2789,data/processed/frames_v12_1fps/frame_000094.jpg,v11,24309,108.20031706449882,v11,24219,data/processed/frames_v11_1fps/frame_000809.jpg,5,0.9668981432914734,255,109,0.42745098039215684,113.09026267048864
v12,2818,data/processed/frames_v12_1fps/frame_000095.jpg,v13,9413,102.11565388029767,v13,9443,data/processed/frames_v13_1fps/frame_000316.jpg,2,0.9519829154014587,489,200,0.40899795501022496,110.89985083722883
v12,2848,data/processed/frames_v12_1fps/frame_000096.jpg,v13,9472,100.95141166847733,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,1,0.9653929471969604,326,100,0.3067484662576687,100.95141166847733
v12,2878,data/processed/frames_v12_1fps/frame_000097.jpg,v13,9472,65.29519706481813,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,1,0.9679316282272339,350,113,0.32285714285714284,65.29519706481813
v12,2908,data/processed/frames_v12_1fps/frame_000098.jpg,v13,9472,42.9362238077118,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9668184518814087,315,143,0.45396825396825397,67.75959712343705
v12,2938,data/processed/frames_v12_1fps/frame_000099.jpg,v13,9472,33.1213878743106,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9714077711105347,310,131,0.42258064516129035,58.30012687431554
v12,2968,data/processed/frames_v12_1fps/frame_000100.jpg,v13,9472,29.950430799863945,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9688037037849426,349,172,0.49283667621776506,57.57008142798476
v12,2998,data/processed/frames_v12_1fps/frame_000101.jpg,v13,9472,24.229364342678743,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9771366715431213,428,214,0.5,52.24014224805286
v12,3028,data/processed/frames_v12_1fps/frame_000102.jpg,v13,9472,14.851217099916967,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9771711826324463,496,272,0.5483870967741935,42.0469373073867
v12,3058,data/processed/frames_v12_1fps/frame_000103.jpg,v13,9502,36.629828149040954,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,1,0.9829261302947998,560,336,0.6,36.629828149040954
v12,3088,data/processed/frames_v12_1fps/frame_000104.jpg,v13,9502,35.28464619726442,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,1,0.9824690818786621,546,325,0.5952380952380952,35.28464619726442
v12,3118,data/processed/frames_v12_1fps/frame_000105.jpg,v13,9502,36.82572649414066,v13,9532,data/processed/frames_v13_1fps/frame_000319.jpg,2,0.9787293076515198,566,320,0.5653710247349824,54.05700209517331
v12,3148,data/processed/frames_v12_1fps/frame_000106.jpg,v13,9532,55.32927024313896,v13,9532,data/processed/frames_v13_1fps/frame_000319.jpg,1,0.9804911613464355,533,308,0.5778611632270169,55.32927024313896
v12,3178,data/processed/frames_v12_1fps/frame_000107.jpg,v13,9562,65.2919054219786,v13,9562,data/processed/frames_v13_1fps/frame_000320.jpg,1,0.9841522574424744,512,289,0.564453125,65.2919054219786
v12,3208,data/processed/frames_v12_1fps/frame_000108.jpg,v13,9562,66.32715148351826,v13,9562,data/processed/frames_v13_1fps/frame_000320.jpg,1,0.9781919121742249,482,245,0.508298755186722,66.32715148351826
v12,3238,data/processed/frames_v12_1fps/frame_000109.jpg,v13,9562,62.660941139215204,v13,9592,data/processed/frames_v13_1fps/frame_000321.jpg,4,0.9770967364311218,479,247,0.5156576200417536,61.42224087408135
v12,3268,data/processed/frames_v12_1fps/frame_000110.jpg,v13,18914,89.56887301913284,v13,9562,data/processed/frames_v13_1fps/frame_000320.jpg,2,0.9760351777076721,395,221,0.5594936708860759,67.35531705967199
v12,3298,data/processed/frames_v12_1fps/frame_000111.jpg,v13,18914,75.6944221155007,v13,9622,data/processed/frames_v13_1fps/frame_000322.jpg,4,0.9730271697044373,359,184,0.5125348189415042,76.46826498248431
v12,3328,data/processed/frames_v12_1fps/frame_000112.jpg,v13,18914,67.76750917566562,v14,810,data/processed/frames_v14_1fps/frame_000028.jpg,6,0.9687350988388062,506,225,0.44466403162055335,38.540979558786056
v12,3358,data/processed/frames_v12_1fps/frame_000113.jpg,v13,18914,64.68689860996044,v14,840,data/processed/frames_v14_1fps/frame_000029.jpg,2,0.9770289063453674,503,254,0.5049701789264414,36.03489208967691
v12,3388,data/processed/frames_v12_1fps/frame_000114.jpg,v13,18914,63.40575801520417,v14,840,data/processed/frames_v14_1fps/frame_000029.jpg,4,0.9758670926094055,516,284,0.5503875968992248,34.029002661267725
v12,3418,data/processed/frames_v12_1fps/frame_000115.jpg,v13,18914,63.20840824916138,v14,900,data/processed/frames_v14_1fps/frame_000031.jpg,4,0.9768303036689758,556,308,0.5539568345323741,30.903433218801382
v12,3448,data/processed/frames_v12_1fps/frame_000116.jpg,v13,18914,64.94633037651407,v13,19004,data/processed/frames_v13_1fps/frame_000635.jpg,6,0.9753017425537109,573,305,0.5322862129144852,24.64826016472925
v12,3478,data/processed/frames_v12_1fps/frame_000117.jpg,v13,18914,68.12715127626015,v13,18974,data/processed/frames_v13_1fps/frame_000634.jpg,3,0.9819151163101196,707,541,0.7652050919377652,13.93513599151433
v12,3508,data/processed/frames_v12_1fps/frame_000118.jpg,v13,19034,17.39707913163215,v13,19004,data/processed/frames_v13_1fps/frame_000635.jpg,4,0.984307587146759,670,560,0.835820895522388,6.9780935986810935
