frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1829,60.988,32.10581777136407,35.2052146923683,NO_FIX,32.1054236,35.2057306,65.51,ok,32.105583,35.205063,29.79,110,SAT_FIX,32.105583,35.205063,29.79
1859,61.988,32.105736058987006,35.20513408318777,NO_FIX,32.1053259,35.2056762,68.54,ok,32.1055,35.205055,27.32,112,SAT_FIX,32.1055,35.205055,27.32
1889,62.989,32.105648564173734,35.205115315914,NO_FIX,32.1052525,35.2056353,65.94,ok,32.10541,35.205032,27.69,96,SAT_FIX,32.10541,35.205032,27.69
1919,63.99,32.10555845567095,35.20510331835063,NO_FIX,32.1051813,35.2055803,61.53,ok,32.105312,35.20502,28.54,101,SAT_FIX,32.105312,35.20502,28.54
1949,64.991,32.10546876086818,35.205086526543134,NO_FIX,32.1051118,35.205514,56.61,ok,32.105217,35.205006,29.04,83,SAT_FIX,32.105217,35.205006,29.04
1979,65.992,32.105377704966166,35.20507303153327,NO_FIX,32.1050447,35.2054391,50.65,ransac_fail,,,,0,VPR_FALLBACK,32.1050447,35.2054391,50.65
2009,66.993,32.105289876466536,35.20503380155241,NO_FIX,32.1049791,35.2053626,46.45,ransac_fail,,,,0,VPR_FALLBACK,32.1049791,35.2053626,46.45
2039,67.994,32.10521160052643,35.204962235033705,NO_FIX,32.1049155,35.2052864,44.96,ransac_fail,,,,0,VPR_FALLBACK,32.1049155,35.2052864,44.96
2069,68.995,32.10513252621065,35.2049075087369,FIX,32.1048527,35.2052129,42.42,ransac_fail,,,,0,VPR_FIX,32.1048527,35.2052129,42.42
2099,69.996,32.10504528876504,35.20488375821295,NO_FIX,32.1047903,35.2051436,37.5,ok,32.10516,35.204395,47.82,13,SAT_FIX,32.10516,35.204395,47.82
2129,70.997,32.104952234370984,35.20488506391934,NO_FIX,32.1047272,35.2050809,31.12,ok,32.104706,35.20477,29.48,18,SAT_FIX,32.104706,35.20477,29.48
2159,71.997,32.104855505879975,35.20491045875659,FIX,32.104665,35.2050251,23.8,ok,32.1046,35.20483,29.44,31,VPR_FIX,32.104665,35.2050251,23.8
2189,72.998,32.10476317303767,35.2049351563121,NO_FIX,32.1046057,35.2049777,17.99,ok,32.104485,35.20489,31.26,39,SAT_FIX,32.104485,35.20489,31.26
2219,73.999,32.10467151701091,35.204932634570326,FIX,32.1045457,35.2049437,14.05,ok,32.104374,35.204853,33.96,59,VPR_FIX,32.1045457,35.2049437,14.05
2249,75.0,32.10458154933173,35.20492124742206,FIX,32.1044834,35.2049201,10.93,ok,32.10431,35.20484,31.18,95,VPR_FIX,32.1044834,35.2049201,10.93
2279,76.001,32.10449099005747,35.20491828072429,FIX,32.104419,35.2049068,8.09,ok,32.104214,35.204834,31.84,88,VPR_FIX,32.104419,35.2049068,8.09
2309,77.002,32.10439972242852,35.20491293958082,FIX,32.1043551,35.2049033,5.05,ok,32.104107,35.204826,33.6,113,VPR_FIX,32.1043551,35.2049033,5.05
2339,78.003,32.10430893829203,35.20490097173521,FIX,32.1042897,35.2049115,2.36,ok,32.104015,35.20482,33.6,109,VPR_FIX,32.1042897,35.2049115,2.36
2369,79.004,32.104217189833,35.20488768194898,FIX,32.1042183,35.2049272,3.73,ok,32.103916,35.20481,34.32,102,VPR_FIX,32.1042183,35.2049272,3.73
2399,80.005,32.104125963963085,35.20488062810604,FIX,32.104147,35.2049507,7.01,ok,32.10383,35.2048,33.81,97,VPR_FIX,32.104147,35.2049507,7.01
2429,81.006,32.10403524711878,35.20486795548273,FIX,32.1040763,35.2049801,11.52,ok,32.103745,35.20478,33.36,102,VPR_FIX,32.1040763,35.2049801,11.52
2459,82.006,32.103950840474646,35.204802378130715,FIX,32.1040086,35.2050323,22.61,ok,32.10369,35.204548,37.66,103,VPR_FIX,32.1040086,35.2050323,22.61
2489,83.007,32.103883845794975,35.20469907355613,FIX,32.103941,35.2050884,37.26,ok,32.103615,35.20451,34.84,79,VPR_FIX,32.103941,35.2050884,37.26
2519,84.008,32.10380811864093,35.2046386157503,FIX,32.1038757,35.2051448,48.33,ok,32.103542,35.204475,33.4,77,VPR_FIX,32.1038757,35.2051448,48.33
2549,85.009,32.103724301590226,35.20460497163635,FIX,32.1038183,35.2052036,57.41,ok,32.10343,35.204453,35.76,45,VPR_FIX,32.1038183,35.2052036,57.41
2579,86.01,32.10363948064485,35.20457034318041,FIX,32.1037643,35.205263,66.78,ok,32.103363,35.204414,34.13,39,VPR_FIX,32.1037643,35.205263,66.78
2609,87.011,32.103553480644855,35.20453634318042,FIX,32.1037193,35.2053201,76.18,ok,32.103275,35.204407,33.31,19,VPR_FIX,32.1037193,35.2053201,76.18
2639,88.012,32.10346935053353,35.20449931688195,FIX,32.103678,35.2053781,86.06,ok,32.10318,35.20434,35.54,34,VPR_FIX,32.103678,35.2053781,86.06
2669,89.013,32.103381619592824,35.2044703831153,FIX,32.1036416,35.2054352,95.47,ok,32.1031,35.204372,32.69,27,VPR_FIX,32.1036416,35.2054352,95.47
2699,90.014,32.10329524578696,35.20444332927148,FIX,32.1036116,35.2054913,104.91,ok,32.10299,35.20427,37.71,16,VPR_FIX,32.1036116,35.2054913,104.91
2729,91.015,32.10321076751978,35.204408436586604,NO_FIX,32.1035864,35.2055474,115.26,ok,32.102898,35.20424,38.27,26,SAT_FIX,32.102898,35.20424,38.27
2759,92.015,32.103124767519795,35.20437543658658,NO_FIX,32.1035687,35.2056044,125.99,ok,32.10288,35.20419,32.38,28,SAT_FIX,32.10288,35.20419,32.38
2789,93.016,32.10302583270996,35.20440103631579,NO_FIX,32.1035577,35.20566,132.66,ok,32.102856,35.204372,19.1,25,SAT_FIX,32.102856,35.204372,19.1
2818,93.984,32.102928208162275,35.20461855136284,NO_FIX,32.1035543,35.205715,124.69,ok,32.102924,35.205177,52.66,16,SAT_FIX,32.102924,35.205177,52.66
2848,94.985,32.10296389692158,35.204994101683106,NO_FIX,32.1035563,35.2057686,98.4,ransac_fail,,,,0,VPR_FALLBACK,32.1035563,35.2057686,98.4
2878,95.986,32.10315563169215,35.205298205151806,NO_FIX,32.1035655,35.2058206,67.15,ok,32.10341,35.205624,41.78,61,SAT_FIX,32.10341,35.205624,41.78
2908,96.987,32.103347774163986,35.205453555690355,NO_FIX,32.1035785,35.2058695,46.89,ok,32.103416,35.205715,25.8,63,SAT_FIX,32.103416,35.205715,25.8
2938,97.987,32.10337334350488,35.205553170006716,NO_FIX,32.1035966,35.2059183,42.46,ok,32.103256,35.205784,25.39,52,SAT_FIX,32.103256,35.205784,25.39
2968,98.988,32.10329298691274,35.20564169922105,NO_FIX,32.103613,35.2059736,47.42,ok,32.103207,35.205868,23.39,46,SAT_FIX,32.103207,35.205868,23.39
