frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,final_lat,final_lon,error_m,frame_seconds
2219,73.999,ransac_fail,0,True,318,1.0,VPR_FALLBACK,32.10227440536679,35.210387635241254,126.92969415796932,0.6011978749884292
2249,75.0,ransac_fail,0,True,345,0.991,VPR_FALLBACK,32.10227440536679,35.210387635241254,126.92969415796932,0.4902946660295129
2279,76.001,ransac_fail,0,True,354,0.989,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.02856008928566,0.564913957961835
2309,77.002,ransac_fail,0,True,385,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.02856008928566,0.5493496250128374
2339,78.003,ok,12,False,0,0.0,SAT,32.101444,35.20766,156.63803033047978,0.23060887504834682
2369,79.004,ok,22,False,0,0.0,SAT,32.10179,35.208332,82.58494185815755,0.28485574992373586
2399,80.005,ok,27,False,0,0.0,SAT,32.101883,35.2085,63.79561172797236,0.37800133298151195
2429,81.006,ok,31,False,0,0.0,SAT,32.10198,35.208668,44.773237663682806,0.5189714169828221
2459,82.007,ok,32,False,0,0.0,SAT,32.10199,35.20868,43.13948496317826,0.43231666705105454
2489,83.007,ok,37,False,0,0.0,SAT,32.10208,35.208843,24.70406058614963,0.6425910829566419
2519,84.008,ok,37,False,0,0.0,SAT,32.10211,35.2089,18.132954771044183,0.4450776670128107
2549,85.009,ok,35,False,0,0.0,SAT,32.10211,35.20892,16.857078561443657,0.5339244999922812
2579,86.01,ok,32,False,0,0.0,SAT,32.102177,35.209,6.451710516648903,0.4791367909638211
2609,87.011,ok,37,False,0,0.0,SAT,32.10217,35.209,7.141541374834357,0.4898452089400962
2639,88.012,ok,33,False,0,0.0,SAT,32.10211,35.208946,15.248952567439463,0.4034325419925153
2669,89.013,ok,42,False,0,0.0,SAT,32.10213,35.20894,14.078397119031184,0.5834870419930667
2699,90.014,ok,47,False,0,0.0,SAT,32.10212,35.208935,14.388792318778528,0.5421918750507757
2729,91.015,ok,30,False,0,0.0,SAT,32.102093,35.208874,16.39964785664201,0.6422662909608334
2759,92.016,ok,35,False,0,0.0,SAT,32.102066,35.208817,16.396202783942645,0.42480208398774266
2789,93.016,ok,35,False,0,0.0,SAT,32.10202,35.208748,16.565803518312162,0.4047306249849498
2818,93.984,ok,21,False,0,0.0,SAT,32.10191,35.208733,17.556748006602128,0.4231094579445198
2848,94.985,ok,19,False,0,0.0,SAT,32.101963,35.208527,19.874518523222232,0.44825241703074425
2878,95.986,ok,16,False,0,0.0,SAT,32.10198,35.20844,17.0834392803434,0.3731669579865411
2908,96.987,ransac_fail,0,True,70,0.654,NO_FIX,,,,1.2164467909606174
2938,97.988,ok,20,False,0,0.0,SAT,32.102383,35.208157,24.449481966896794,0.44090583291836083
2968,98.988,ok,17,False,0,0.0,SAT,32.102524,35.20811,19.128557666536672,0.3376906249905005
2998,99.989,ok,21,False,0,0.0,SAT,32.102562,35.208008,20.66176226716979,0.3502348749898374
3028,100.99,ok,20,False,0,0.0,SAT,32.102615,35.207912,21.127788259378434,0.30480725003872067
3058,101.991,ok,21,False,0,0.0,SAT,32.102623,35.20779,22.915585579041686,0.5085778329521418
3088,102.992,ok,33,False,0,0.0,SAT,32.102654,35.20771,21.210921718086123,0.29527229093946517
3118,103.993,ok,32,False,0,0.0,SAT,32.10269,35.207615,20.77885210195234,0.3320662499172613
3148,104.994,ok,26,False,0,0.0,SAT,32.10273,35.20751,21.2341843380595,0.3760416660225019
3178,105.995,ok,25,False,0,0.0,SAT,32.102776,35.207424,20.918736443954224,0.286942083039321
3208,106.996,ok,31,False,0,0.0,SAT,32.1028,35.207294,23.32502140180622,0.530392583925277
3238,107.997,ok,31,False,0,0.0,SAT,32.102837,35.207203,23.08138441285299,0.310748708085157
3268,108.997,ok,26,False,0,0.0,SAT,32.10286,35.2071,23.13871538737024,0.27002670802176
3298,109.998,ok,28,False,0,0.0,SAT,32.102898,35.206978,25.33831861368103,0.27849670802243054
3328,110.999,ok,25,False,0,0.0,SAT,32.102905,35.206886,24.235480803872655,0.46173395798541605
3358,112.0,ok,30,False,0,0.0,SAT,32.10293,35.206768,25.66682300783547,0.46579354198183864
3388,113.001,ok,33,False,0,0.0,SAT,32.102947,35.206657,25.76499071744527,0.5447669170098379
3418,114.002,ok,27,False,0,0.0,SAT,32.102978,35.20656,26.069776385687906,0.2459862089017406
3448,115.003,ok,30,False,0,0.0,SAT,32.10303,35.20648,24.7253046904704,0.4692690829979256
3478,116.004,ok,29,False,0,0.0,SAT,32.103073,35.206337,29.080576037922455,0.24938779103104025
3508,117.005,ok,27,False,0,0.0,SAT,32.103092,35.206287,24.23380724749304,0.3540601250715554
3538,118.006,ok,25,False,0,0.0,SAT,32.103073,35.206123,29.49996189734259,0.3785033330786973
3568,119.006,ok,25,False,0,0.0,SAT,32.103138,35.206066,25.890613454789953,0.34075770899653435
3598,120.007,ok,23,False,0,0.0,SAT,32.103165,35.205963,25.890606186938758,0.35878641705494374
3628,121.008,ok,29,False,0,0.0,SAT,32.103218,35.205822,30.36741669744184,0.3377440000185743
3658,122.009,ok,25,False,0,0.0,SAT,32.103195,35.205673,33.856120314934316,0.41254487494006753
3688,123.01,ok,23,False,0,0.0,SAT,32.103268,35.205616,30.3496926334871,0.36276308295782655
3718,124.011,ok,18,False,0,0.0,SAT,32.103035,35.205494,31.646896642956538,0.31861437496263534
3748,125.012,ok,17,False,0,0.0,SAT,32.102867,35.20535,40.16999111337023,0.3110381249571219
3778,126.013,ok,31,False,0,0.0,SAT,32.10317,35.2053,28.42128024191909,0.4761022499296814
3808,127.014,ok,13,False,0,0.0,SAT,32.103233,35.20511,37.56785989874192,0.3720160409575328
3838,128.014,ransac_fail,0,True,187,0.773,VPR_FALLBACK,32.102844091340266,35.20543810814187,37.378900537143835,1.1671337500447407
3868,129.015,ok,11,False,0,0.0,SAT,32.103233,35.204956,31.99795668877131,0.30366724997293204
3898,130.016,ok,8,False,0,0.0,SAT,32.103542,35.20643,122.86527335065391,0.29959449998568743
